Vocab-sound-local	Sentence-expression	Sentence-meaning
kare no ie ni ha youma ga arimasu	彼の家には洋間があります。	There's a Western-style room in his house.
kare ha souru myuujikku wo yoku kiku no	彼はソウルミュージックをよく聞くの。	He often listens to soul music.
kanojo ha romanchikku na hito desu	彼女はロマンチックな人です。	She's a romantic person.
kanojo ha tankidaigaku de nihon bungaku wo benkyou shimashita	彼女は短期大学で日本文学を勉強しました。	She studied Japanese literature in junior college.
itsumo tsukihajime ni kare to aimasu	いつも月初めに彼と会います。	I always meet him at the beginning of the month.
kare no namae wo dowasure shita zo	彼の名前を度忘れしたぞ。	His name has completely slipped from my memory.
naze ka kare ha niyaniya shite imasu	なぜか彼はにやにやしています。	He's grinning for some reason.
kare no heya ni ha mashikaku na mado ga atta n da	彼の部屋には真四角な窓があったんだ。	There was a square window in his room.
kanojo ha monooboe ga ii	彼女は物覚えがいい。	She learns things quickly.
kanojo mo sonouchi oya no kimochi ga wakaru darou	彼女もその内、親の気持ちが分かるだろう。	Sooner or later, she'll come to understand her parents' feelings.
kare ha mukashi kara no chijin desu	彼は昔からの知人です。	He's an old acquaintance.
kare ha hitori de nanika tsubuyaite ita no	彼は一人で何かつぶやいていたの。	He was muttering something to himself.
kanojo ha tsuyoki na josei desu ne	彼女は強気な女性ですね。	She's a tough woman.
amerika de kanojo to deaimashita。	アメリカで彼女と出会いました。	I met her in the United States.
kare ha teichingin de hataraite iru n da	彼は低賃金で働いているんだ。	He's working for a low wage.
kare ha nanishiro yoku shaberimasu	彼は何しろよくしゃべります。	Anyway, he talks a lot.
kare ha nama no sakana ga taberaremasen	彼は生の魚が食べられません。	He can't eat raw fish.
kanojo ha watashi wo niranda no	彼女は私をにらんだの。	She glared at me.
kare ha benkyou suru shika nou no nai ningen da ne	彼は勉強するしか能のない人間だね。	He's the kind of person who only knows how to study.
kare ha zuibun nonki na yatsu da	彼はずいぶんのんきなやつだ。	He's a fairly easygoing guy.
kare ha kuruma ni hanerareta kedo buji datta no	彼は車にはねられたけど無事だったの。	He was hit by a car but he was fine.
kanojo no jinsei ha barairo datta no 。	彼女の人生はばら色だったの。	Her life was rosy.
kare ha yama no fumoto ni sunde iru yo	彼は山のふもとに住んでいるよ。	He lives at the foot of a mountain.
kanojo ha makka na hoho wo shiteiru ne 。	彼女は真っ赤なほほをしているね。	Her cheeks are flushed.
kanojo ha watashi ni hohoenda yo	彼女は私にほほえんだよ。	She smiled at me.
kanojo ha magokoro wo komete kare ni keeki wo tsukutta yo	彼女は真心をこめて彼にケーキを作ったよ。	She put her heart into baking him a cake.
machinaka de kanojo ni deatta yo	町中で彼女に出会ったよ。	I met her downtown.
kare ga shigoto wo yasumu no ha mare desu	彼が仕事を休むのはまれです。	It's rare that he takes a day off from work.
kare ha ichinichijuu mugon datta na	彼は一日中無言だったな。	He was silent all day long.
kare ha peeji wo mekutta no	彼はページをめくったの。	He turned the page.
kare no shoubai ha moukatte iru rashii ne	彼の商売はもうかっているらしいね。	His business seems to be doing well.
kare ha sekai de mottomo hayai otoko desu	彼は世界で最も早い男です。	He's the fastest man in the world.
kare no yukue ga wakarimasen	彼の行方が分かりません。	I don't know his whereabouts.
kare no yogen ha atatta koto ga nai ne	彼の予言は当たったことがないね。	His predictions have never been correct.
kare ha kesshite hito no warukuchi wo iwanai no	彼は決して人の悪口を言わないの。	He never speaks ill of people.
kare ha moujiki chichioya ni narimasu	彼はもうじき父親になります。	Soon he'lll become a father.
kare ha yatarani hanashikakete kita	彼はやたらに話しかけてきた。	He persistently tried to talk to me.
kare ha kekkyoku nani wo iitakatta no darou	彼は結局何を言いたかったのだろう。	I wonder what he wanted to say after all.
karera ha tsuyoi yuujou de musubarete iru na	彼らは強い友情で結ばれているな。	They're tied by a strong friendship.
kare ha kai no musubi to shite supiichi wo shita yo	彼は会の結びとしてスピーチをしたよ。	He made a speech to close the meeting.
futari ha konyaku shite imasu	二人は婚約しています。	They are engaged.
nanto karera ha kekkon shita sou desu	何と彼らは結婚したそうです。	I heard that they got married.
kanojo ga kekkon shita nante chittomo shiranakatta	彼女が結婚したなんて、ちっとも知らなかった。	I had no idea that she'd gotten married.
kare ha mada mikon desu	彼はまだ未婚です。	He's still single.
konotabi ha gokekkon omedetou gozaimasu	この度はご結婚おめでとうございます。	Congratulations on your marriage.
sore ha kudamono no isshu desu	それは果物の一種です。	It is a kind of fruit.
koremade de saikou no kekka ga deta yo	これまでで最高の結果が出たよ。	I got my best results so far.
shiai no kekka wo hayaku shiritai	試合の結果を早く知りたい。	I want to know soon the results of the game.
kare ha kekka ni manzoku shita you desu	彼は結果に満足したようです。	He seems to be satisfied with the result.
hatashite kare ha arawarerudarou ka	果たして彼は現れるだろうか。	Will he really show up in the end?
kekka wo moushiagemasu	結果を申し上げます。	I'll announce the results.
watashi ha souchou no jogingu wo nikka ni shite imasu	私は早朝のジョギングを日課にしています。	It's my routine to go jogging every morning.
kono kusuri ha amari yoku kikanai yo	この薬はあまりよく効かないよ。	This medicine doesn't work very well.
sono kusuri ha kouryoku ga tsuyoi yo	その薬は効力が強いよ。	The effect of the medicine is strong.
kono kuupon ha mou mukou desu	このクーポンはもう無効です。	This coupon is already invalid.
kono doa ha jidou yo	このドアは自動よ。	This door is automatic.
jikoku no bunka wo taisetsu ni shimashou	自国の文化を大切にしましょう。	Let's take good care of our own country's culture.
jibun rashii ikikata wo shinasai	自分らしい生き方をしなさい。	Live life in your own way.
gomi ha kakuji de mochikaette kudasai	ごみは各自で持ち帰ってください。	Please take your own garbage home.
jibun wo takameru no ha taisetsu na koto desu	自分を高めるのは大切なことです。	It's important to improve oneself.
jitensha no taiya ga panku shimashita	自転車のタイヤがパンクしました。	My bike got a flat tire.
meeru wo keiyu shite hirogaru uirusu mo arimasu	メールを経由して広がるウィルスもあります。	There are even viruses that spread via e-mail.
kare no iu koto ha shinyou dekinai	彼の言うことは信用できない。	I can't trust what he says.
omae no iu koto ha shinjirare nai	お前の言うことは信じられない。	I can't believe what you say.
tsuushin gijutsu no hattatsu ha mezamashii na	通信技術の発達は目覚ましいな。	The progress of communication technology is remarkable.
tsuushin kyouiku ha totemo benri desu	通信教育はとても便利です。	Distance learning is very convenient.
watashi ha buka wo shinrai shite imasu	私は部下を信頼しています。	I trust my subordinates.
kare ni kyouryoku wo irai shimashita	彼に協力を依頼しました。	I requested his cooperation.
hito ni tayoranai de jibun de yatte goran	人に頼らないで、自分でやってごらん。	Do it yourself without relying on other people.
anata ni tanomi ga aru n desu kedo	あなたに頼みがあるんですけど。	By the way, I have a favor to ask you.
kare ha tanomoshii hito desu	彼は頼もしい人です。	He's a dependable person.
kokumin no anzen ga mottomo taisetsu desu	国民の安全が最も大切です。	Citizen safety is most important.
aiteii sangyou ha indo no shuyou sangyou yo ne	IT産業はインドの主要産業よね。	IT is a major industry in India.
kono shouhin ha omoni josei ni ninki ga arimashi te	この商品は主に女性に人気がありまして。	This product is mainly popular among women.
ajia no shushoku ha kome desu	アジアの主食は米です。	The staple food of Asia is rice.
kanojo no omo na shigoto ha sekkyaku da yo	彼女の主な仕事は接客だよ。	Her main job is customer service.
shujin no tsukai de shiyakusho ni iku tokoro desu	主人の使いで市役所に行くところです。	I'm about to go to city hall on an errand for my husband.
yanushi ha 1 kai ni sunde imasu	家主は1階に住んでいます。	The landlord lives on the first floor.
watashi ha kuruma ha motanai shugi desu	私は車は持たない主義です。	I do not have a car on principle.
sono kuni ha kyousanshugi no kuni da yo	その国は共産主義の国だよ。	That country is a Communist nation.
kare ha giri wo taisetsu ni shite imasu	彼は義理を大切にしています。	He values duty.
minshushugi ni tsuite benkyou shimashita	民主主義について勉強しました。	We studied democracy.
gikai de ku no rainen no yotei ga hanashiawareta n da 。	議会で区の来年の予定が話し合われたんだ。	The council discussed the district's plan for the upcoming year.
kyou no gidai ha omoshiro sou desu	今日の議題は面白そうです。	Today's agenda looks interesting.
kaigi no shonichi ni shichou ga supiichi wo shita yo	会議の初日に市長がスピーチをしたよ。	The mayor made a speech on the first day of the conference.
jikai no kaigi ha ni shuukan go ni okonaimasu	次回の会議は2週間後に行います。	The next meeting will be held in two weeks.
asu juuyakukaigi ga hirakaremasu	明日、重役会議が開かれます。	The executive meeting will be held tomorrow.
kyou ha honsha de kaigi ga arimasu	今日は本社で会議があります。	There's a conference at headquarters today.
