Vocab-sound-local	Sentence-expression	Sentence-meaning
chichi ha jounetsu wo motte shigoto ni uchikonde imasu	父は情熱を持って仕事に打ち込んでいます。	My father is devoting himself to work with zeal.	1
chichi no ibiki ha ookii n da	父のいびきは大きいんだ。	My father snores loudly.	1
watashi no chichi ha daiku desu	私の父は大工です。	My father's a carpenter.	1
chichi ga ryohi wo dashite kuremashita	父が旅費を出してくれました。	My father paid for my travel expenses.	1
chichi ga nagai tegami wo yokoshita yo	父が長い手紙をよこしたよ。	My father sent a long letter.	1
haha no teryouri wo yukkuri ajiwaimashita	母の手料理をゆっくり味わいました。	I took my time savoring my mother's homemade cooking.	1
haha ha mainichi tekipaki to kaji wo shite iru yo	母は毎日てきぱきと家事をしているよ。	My mother zips through housework every day.	1
tsuki ni ichido haha kara tayori ga kimasu	月に一度母から便りが来ます。	I get a letter from my mother once a month.	1
jikka no haha kara denpou ga kimashita	実家の母から電報が来ました。	A telegram came from my mother at home.	1
haha ga denwa de nagabanashi wo shite iru n da	母が電話で長話をしているんだ。	My mother is having a long talk on the telephone.	1
haha ha itsumo watashi no mikata desu	母はいつも私の味方です。	My mother always looks out for me.	1
goshinsetsu ha kesshite wasuremasen	ご親切は決して忘れません。	I will never forget your kindness.	1
shinrui no ie ni yonenkan geshuku shimashita	親類の家に4年間下宿しました。	I boarded at a relative's house for four years.	1
kirisuto no hahaoya no namae ha maria da	キリストの母親の名前はマリアだ。	Christ's mother's name is Maria.	1
onna no ko ha hanashikata made hahaoya ni niru wa ne	女の子は話し方まで母親に似るわね。	The girl even talks like her mother.	1
ano oyako ha sokkuri da ne	あの親子はそっくりだね。	That parent and child look alike.	1
koko no suizokukan ni ha iruka ga imasu	ここの水族館にはイルカがいます。	There is a dolphin in the aquarium here.	1
depaato no saimatsu oouridashi ga hajimatta yo	デパートの歳末大売出しが始まったよ。	Year-end sales have begun at the department stores.	1
watashi no papa ha 36 sai desu	私のパパは36歳です。	My dad is 36 years old.	1
ane to watashi ha fuku no konomi ga nite imasu	姉と私は服の好みが似ています。	My elder sister and I have the same taste in clothes.	1
ane ha daigaku ni zaigaku shite imasu	姉は大学に在学しています。	My elder sister studies at university.	1
ane ha sutando no shita de hon wo yonde ita n da	姉はスタンドの下で本を読んでいたんだ。	My elder sister was reading a book by the desk lamp.	1
ane ha yoku tabi wo shimasu	姉はよく旅をします。	My big sister often travels.	1
uchi ha sannin shimai desu	うちは3人姉妹です。	There are three girls in my family, myself and two sisters.	1
fukei no katagata ha kochira he douzo	父兄の方々はこちらへどうぞ。	This way please, parents.	1
kinou otouto to kuchigenka shimashita	きのう、弟と口げんかしました。	I quarreled with my younger brother yesterday.	1
watashi ni ha shigoto ga daiichi desu	私には仕事が第一です。	My first priority is my job.	1
musume ha shiritsu no gakkou ni kayotte imasu	娘は市立の学校に通っています。	My daughter goes to a municipal school.	1
musume ha yoku watashi no mane wo shimasu	娘はよく私のまねをします。	My daughter often copies me.	1
kyuusoku wo toru koto ha taisetsu desu	休息をとることは大切です。	It's important to take breaks.	1
musuko ha gakkou de yomikaki wo benkyou shite imasu	息子は学校で読み書きを勉強しています。	My son studies reading and writing at school.	1
musuko ha mokka benkyouchuu desu	息子は目下勉強中です。	My son is in the middle of studying.	1
watashi no musuko ha hidarikiki desu	私の息子は左利きです。	My son is left-handed.	1
wakamonotachi ha enerugii ni afurete imasu ne	若者たちはエネルギーにあふれていますね。	Young people are always full of energy.	1
futari no sousha ha douji ni gooru shita yo	二人の走者は同時にゴールしたよ。	The two runners reached the goal at the same time.	1
sousha ga tsugitsugini gooru shimashita	走者が次々にゴールしました。	Runners reached the goal one after another.	1
wakamono ha tairyoku ga arimasu ne	若者は体力がありますね。	Young people have a lot of stamina.	1
nichiyoubi ha kono toori ga hokoushatengoku ni narimasu	日曜日はこの通りが歩行者天国になります。	This street is turned into a vehicle-free promenade on Sundays.	1
watashi ha sakihodo denwa shita mono desu	私は先ほど電話した者です。	I'm the person who called a while earlier.	1
kanojo ha intaanetto wo katsuyou shite iru no	彼女はインターネットを活用しているの。	She makes use of the Internet.	1
kare no koudou ha rikai dekinai	彼の行動は理解できない。	I can't understand his conduct.	1
kare ha eigyou wo tantou shiteimasu 。	彼は営業を担当しています。	He is in charge of sales.	1
izen kare ha kono machi ni sunde ita n da	以前彼はこの町に住んでいたんだ。	He used to live in this town.	1
kare ha kaisha no juuyou na jinbutsu desu	彼は会社の重要な人物です。	He is an important person in the company.	1
kare ha jinji wo tantou shite iru n da	彼は人事を担当しているんだ。	He is in charge of personnel affairs.	1
kanojo ha kurabu no kaiin desu	彼女はクラブの会員です。	She's a member of the club.	1
watashi ha kare to onaji sedai desu	私は彼と同じ世代です。	I am of the same generation as him.	1
kanojo ha shokuji wo seigen shite imasu	彼女は食事を制限しています。	She is restricting her diet.	1
kanojo no yousu ga itsumo to chigau	彼女の様子がいつもと違う。	She looks different than usual.	1
kare no kaisha ha iten shita yo	彼の会社は移転したよ。	His company relocated.	1
kare ha sakka de ari gakusha desu	彼は作家であり学者です。	He is a writer and a scholar.	1
sore irai kanojo ni attenai	それ以来彼女に会ってない。	I haven't met her since then.	1
kanojo ha yuumei na sakka desu	彼女は有名な作家です。	She is a well-known writer.	1
kanojo ha saikin genki ga nai desu ne	彼女は最近元気がないですね。	She has been in low spirits recently.	1
kare ha jikken wo kokoromita no yo	彼は実験を試みたのよ。	He tried the experiment.	1
kanojo ha kyouto no umare desu	彼女は京都の生まれです。	She was born in Kyoto.	1
kare ha bijinesukurasu ni notta no	彼はビジネスクラスに乗ったの。	He traveled business class.	1
kare ni aeba kare ga ikani ii hito ka wakarimasu	彼に会えば、彼がいかに良い人か分かります。	If you met him you'd realize what a nice person he is.	1
kanojo ha shokku de kuchi mo kikenakatta wa	彼女はショックで口もきけなかったわ。	She was too shocked to speak.	1
kanojo ha yuunou na jaanarisuto da	彼女は有能なジャーナリストだ。	She is an able journalist.	1
kanojo ha moderu no you ni sutairu ga ii ne	彼女はモデルのようにスタイルがいいね。	With her good figure, she looks like a model.	1
kanojotachi ha sorezore kosei ga tsuyoi desu ne	彼女たちはそれぞれ個性が強いですね。	Each of those women has a strong personality.	1
kanojo ha rajiokyoku de hataraite imasu	彼女はラジオ局で働いています。	She works for a radio station.	1
kare ha koukou no kyouin desu	彼は高校の教員です。	He's a high school teacher.	1
kare ha kazukazu no meisaku wo umidashita	彼は数々の名作を生み出した。	He produced a number of masterpieces.	1
kare ga ii aidea wo dashita ne	彼がいいアイデアを出したね。	He came up with a good idea.	1
kare ha ikanimo supootsuman rashii desu ne	彼はいかにもスポーツマンらしいですね。	He indeed looks like a sportsman.	1
kare ha ikken sarariimanfuu desu ne	彼は一見サラリーマン風ですね。	He looks like a businessman at a glance.	1
kare ha wakai no ni shikkari shiteru ne	彼は若いのにしっかりしてるね。	He is reliable even though he is young.	1
kare ha kyou haitta bakari no shinjin desu	彼は今日入ったばかりの新人です。	He is a newcomer who just started today.	1
kare ha kyuujin koukoku de shigoto wo mitsuketa n da	彼は求人広告で仕事を見つけたんだ。	He found a job through a recruiting ad.	1
kanojo ha onna no ko wo shussan shita n da	彼女は女の子を出産したんだ。	She gave birth to a girl.	1
kare ha sono toki sutaa datta yo 。	彼はその時スターだったよ。	He was a star at the time.	1
kare ha arukooru ni tsuyoi taishitsu desu	彼はアルコールに強い体質です。	He has a disposition to hold his liquor.	1
kare ha watashi yori hito gakunen ue desu	彼は私より一学年上です。	He's one year above me in school.	1
kare no jakuten ha sutamina ga tarinai tokoro desu	彼の弱点はスタミナが足りないところです。	His weakness is that he lacks stamina.	1
kare ha daigaku de kougaku wo benkyou shimashita	彼は大学で工学を勉強しました。	He studied engineering in college.	1
kare ha yatto houkokusho wo shiageta yo	彼はやっと報告書を仕上げたよ。	He finally finished up the report.	1
kare ha suteeji ni tatta yo	彼はステージに立ったよ。	He stood on the stage.	1
kare no adobaisu ha itsumo arigatai wa ne	彼のアドバイスはいつも有り難いわね。	His advice is always welcome.	1
kare ha watashi no shinyuu desu	彼は私の親友です。	He is a close friend.	1
kare ha amachua ongakuka desu	彼はアマチュア音楽家です。	He is an amateur musician.	1
kanojo ha gogakuryoku wo shigoto ni ikashite iru ne	彼女は語学力を仕事に生かしているね。	She takes advantage of her language ability in her work.	1
